,match_id,object_type,red_or_blue_side,team_name,sum
0,001a1f289e3bab22,barons,blue,ANC,0
1,001a1f289e3bab22,dragons,blue,ANC,1
2,001a1f289e3bab22,heralds,blue,ANC,0
3,001a1f289e3bab22,inhibs,blue,ANC,0
4,001a1f289e3bab22,towers,blue,ANC,3
5,001a1f289e3bab22,barons,red,CJE,0
6,001a1f289e3bab22,dragons,red,CJE,4
7,001a1f289e3bab22,heralds,red,CJE,0
8,001a1f289e3bab22,inhibs,red,CJE,1
9,001a1f289e3bab22,towers,red,CJE,7
10,001f50c8547e2e73,barons,blue,EDG,1
11,001f50c8547e2e73,dragons,blue,EDG,4
12,001f50c8547e2e73,heralds,blue,EDG,0
13,001f50c8547e2e73,inhibs,blue,EDG,1
14,001f50c8547e2e73,towers,blue,EDG,8
15,001f50c8547e2e73,barons,red,AHQ,0
16,001f50c8547e2e73,dragons,red,AHQ,0
17,001f50c8547e2e73,heralds,red,AHQ,0
18,001f50c8547e2e73,inhibs,red,AHQ,0
19,001f50c8547e2e73,towers,red,AHQ,2
20,002f613ae09ad421,barons,blue,TPA,1
21,002f613ae09ad421,dragons,blue,TPA,2
22,002f613ae09ad421,heralds,blue,TPA,1
23,002f613ae09ad421,inhibs,blue,TPA,3
24,002f613ae09ad421,towers,blue,TPA,11
25,002f613ae09ad421,barons,red,XG,0
26,002f613ae09ad421,dragons,red,XG,1
27,002f613ae09ad421,heralds,red,XG,0
28,002f613ae09ad421,inhibs,red,XG,0
29,002f613ae09ad421,towers,red,XG,2
30,003aefd58000cbd6,barons,blue,JAG,0
31,003aefd58000cbd6,dragons,blue,JAG,1
32,003aefd58000cbd6,heralds,blue,JAG,0
33,003aefd58000cbd6,inhibs,blue,JAG,0
34,003aefd58000cbd6,towers,blue,JAG,3
35,003aefd58000cbd6,barons,red,LZ,1
36,003aefd58000cbd6,dragons,red,LZ,3
37,003aefd58000cbd6,heralds,red,LZ,0
38,003aefd58000cbd6,inhibs,red,LZ,3
39,003aefd58000cbd6,towers,red,LZ,11
40,003dba1358cd918a,barons,blue,EL,1
41,003dba1358cd918a,dragons,blue,EL,2
42,003dba1358cd918a,heralds,blue,EL,0
43,003dba1358cd918a,inhibs,blue,EL,1
44,003dba1358cd918a,towers,blue,EL,8
45,003dba1358cd918a,barons,red,ROC,0
46,003dba1358cd918a,dragons,red,ROC,2
47,003dba1358cd918a,heralds,red,ROC,0
48,003dba1358cd918a,inhibs,red,ROC,0
49,003dba1358cd918a,towers,red,ROC,4
50,005a9b7b25ee9ac5,barons,blue,C9,1
51,005a9b7b25ee9ac5,dragons,blue,C9,4
52,005a9b7b25ee9ac5,heralds,blue,C9,1
53,005a9b7b25ee9ac5,inhibs,blue,C9,3
54,005a9b7b25ee9ac5,towers,blue,C9,11
55,005a9b7b25ee9ac5,barons,red,NRG,0
56,005a9b7b25ee9ac5,dragons,red,NRG,0
57,005a9b7b25ee9ac5,heralds,red,NRG,0
58,005a9b7b25ee9ac5,inhibs,red,NRG,0
59,005a9b7b25ee9ac5,towers,red,NRG,3
60,0073b31255641f6c,barons,blue,H2K,1
61,0073b31255641f6c,dragons,blue,H2K,3
62,0073b31255641f6c,heralds,blue,H2K,1
63,0073b31255641f6c,inhibs,blue,H2K,3
64,0073b31255641f6c,towers,blue,H2K,11
65,0073b31255641f6c,barons,red,FNC,0
66,0073b31255641f6c,dragons,red,FNC,0
67,0073b31255641f6c,heralds,red,FNC,0
68,0073b31255641f6c,inhibs,red,FNC,0
69,0073b31255641f6c,towers,red,FNC,2
70,0076dde983f72733,barons,blue,C9,0
71,0076dde983f72733,dragons,blue,C9,0
72,0076dde983f72733,heralds,blue,C9,0
73,0076dde983f72733,inhibs,blue,C9,0
74,0076dde983f72733,towers,blue,C9,2
75,0076dde983f72733,barons,red,TSM,1
76,0076dde983f72733,dragons,red,TSM,3
77,0076dde983f72733,heralds,red,TSM,1
78,0076dde983f72733,inhibs,red,TSM,1
79,0076dde983f72733,towers,red,TSM,9
80,00986b51908a63c3,barons,blue,SKT,3
81,00986b51908a63c3,dragons,blue,SKT,2
82,00986b51908a63c3,heralds,blue,SKT,0
83,00986b51908a63c3,inhibs,blue,SKT,1
84,00986b51908a63c3,towers,blue,SKT,8
85,00986b51908a63c3,barons,red,JAG,1
86,00986b51908a63c3,dragons,red,JAG,4
87,00986b51908a63c3,heralds,red,JAG,0
88,00986b51908a63c3,inhibs,red,JAG,3
89,00986b51908a63c3,towers,red,JAG,11
90,00a7858e986c8d87,barons,blue,T8,1
91,00a7858e986c8d87,dragons,blue,T8,1
92,00a7858e986c8d87,heralds,blue,T8,0
93,00a7858e986c8d87,inhibs,blue,T8,2
94,00a7858e986c8d87,towers,blue,T8,8
95,00a7858e986c8d87,barons,red,CST,1
96,00a7858e986c8d87,dragons,red,CST,4
97,00a7858e986c8d87,heralds,red,CST,0
98,00a7858e986c8d87,inhibs,red,CST,1
99,00a7858e986c8d87,towers,red,CST,6
100,00bad4da4d94bdbf,barons,blue,CLG,3
101,00bad4da4d94bdbf,dragons,blue,CLG,3
102,00bad4da4d94bdbf,heralds,blue,CLG,0
103,00bad4da4d94bdbf,inhibs,blue,CLG,3
104,00bad4da4d94bdbf,towers,blue,CLG,10
105,00bad4da4d94bdbf,barons,red,NME,0
106,00bad4da4d94bdbf,dragons,red,NME,4
107,00bad4da4d94bdbf,heralds,red,NME,0
108,00bad4da4d94bdbf,inhibs,red,NME,0
109,00bad4da4d94bdbf,towers,red,NME,7
110,00c7bcac9e02c63a,barons,blue,OG,1
111,00c7bcac9e02c63a,dragons,blue,OG,3
112,00c7bcac9e02c63a,heralds,blue,OG,0
113,00c7bcac9e02c63a,inhibs,blue,OG,2
114,00c7bcac9e02c63a,towers,blue,OG,10
115,00c7bcac9e02c63a,barons,red,H2K,0
116,00c7bcac9e02c63a,dragons,red,H2K,0
117,00c7bcac9e02c63a,heralds,red,H2K,0
118,00c7bcac9e02c63a,inhibs,red,H2K,0
119,00c7bcac9e02c63a,towers,red,H2K,2
120,00df84280ed2625b,barons,blue,HKE,0
121,00df84280ed2625b,dragons,blue,HKE,0
122,00df84280ed2625b,heralds,blue,HKE,0
123,00df84280ed2625b,inhibs,blue,HKE,0
124,00df84280ed2625b,towers,blue,HKE,1
125,00df84280ed2625b,barons,red,JT,2
126,00df84280ed2625b,dragons,red,JT,3
127,00df84280ed2625b,heralds,red,JT,0
128,00df84280ed2625b,inhibs,red,JT,1
129,00df84280ed2625b,towers,red,JT,10
130,00e4eb2c47c14065,barons,blue,G2,1
131,00e4eb2c47c14065,dragons,blue,G2,2
132,00e4eb2c47c14065,heralds,blue,G2,0
133,00e4eb2c47c14065,inhibs,blue,G2,1
134,00e4eb2c47c14065,towers,blue,G2,9
135,00e4eb2c47c14065,barons,red,UOL,1
136,00e4eb2c47c14065,dragons,red,UOL,1
137,00e4eb2c47c14065,heralds,red,UOL,1
138,00e4eb2c47c14065,inhibs,red,UOL,0
139,00e4eb2c47c14065,towers,red,UOL,4
140,010806395ccc936c,barons,blue,SKT,1
141,010806395ccc936c,dragons,blue,SKT,3
142,010806395ccc936c,heralds,blue,SKT,0
143,010806395ccc936c,inhibs,blue,SKT,2
144,010806395ccc936c,towers,blue,SKT,10
145,010806395ccc936c,barons,red,SSB,1
146,010806395ccc936c,dragons,red,SSB,0
147,010806395ccc936c,heralds,red,SSB,0
148,010806395ccc936c,inhibs,red,SSB,0
149,010806395ccc936c,towers,red,SSB,4
150,011812adaddc83e0,barons,blue,FW,1
151,011812adaddc83e0,dragons,blue,FW,2
152,011812adaddc83e0,heralds,blue,FW,1
153,011812adaddc83e0,inhibs,blue,FW,2
154,011812adaddc83e0,towers,blue,FW,10
155,011812adaddc83e0,barons,red,XG,0
156,011812adaddc83e0,dragons,red,XG,1
157,011812adaddc83e0,heralds,red,XG,0
158,011812adaddc83e0,inhibs,red,XG,0
159,011812adaddc83e0,towers,red,XG,1
160,01368b5ce8fcef87,barons,blue,IMT,1
161,01368b5ce8fcef87,dragons,blue,IMT,3
162,01368b5ce8fcef87,heralds,blue,IMT,1
163,01368b5ce8fcef87,inhibs,blue,IMT,3
164,01368b5ce8fcef87,towers,blue,IMT,11
165,01368b5ce8fcef87,barons,red,C9,0
166,01368b5ce8fcef87,dragons,red,C9,1
167,01368b5ce8fcef87,heralds,red,C9,0
168,01368b5ce8fcef87,inhibs,red,C9,0
169,01368b5ce8fcef87,towers,red,C9,0
170,01417eebd0d9ccb3,barons,blue,FNC,1
171,01417eebd0d9ccb3,dragons,blue,FNC,2
172,01417eebd0d9ccb3,heralds,blue,FNC,0
173,01417eebd0d9ccb3,inhibs,blue,FNC,2
174,01417eebd0d9ccb3,towers,blue,FNC,10
175,01417eebd0d9ccb3,barons,red,OG,0
176,01417eebd0d9ccb3,dragons,red,OG,0
177,01417eebd0d9ccb3,heralds,red,OG,0
178,01417eebd0d9ccb3,inhibs,red,OG,0
179,01417eebd0d9ccb3,towers,red,OG,0
180,0156b7df31ad8a79,barons,blue,UOL,0
181,0156b7df31ad8a79,dragons,blue,UOL,5
182,0156b7df31ad8a79,heralds,blue,UOL,0
183,0156b7df31ad8a79,inhibs,blue,UOL,0
184,0156b7df31ad8a79,towers,blue,UOL,6
185,0156b7df31ad8a79,barons,red,GIA,1
186,0156b7df31ad8a79,dragons,red,GIA,0
187,0156b7df31ad8a79,heralds,red,GIA,0
