,match_id,team_name,player,kills,deaths,assists,kda_ratio
88,00e4eb2c47c14065,UOL,Vizicsacsi,0,2,2,1
89,010806395ccc936c,SKT,Bang,5,1,7,12
90,010806395ccc936c,SKT,Bengi,0,1,8,8
91,010806395ccc936c,SKT,Faker,4,2,5,4.5
92,010806395ccc936c,SKT,MaRin,10,0,2,12
93,010806395ccc936c,SKT,Wolf,0,1,9,9
94,010806395ccc936c,SSB,Catch,1,4,3,1
95,010806395ccc936c,SSB,SaSin,3,4,2,1.25
96,010806395ccc936c,SSB,Soul,0,4,2,0.5
97,011812adaddc83e0,FW,Karsa,5,1,8,13
98,011812adaddc83e0,FW,MMD,6,0,5,11
99,011812adaddc83e0,FW,Maple,1,1,8,9
100,011812adaddc83e0,FW,NL,4,0,8,12
101,011812adaddc83e0,XG,Nexus,0,4,1,0.25
102,011812adaddc83e0,XG,Yo,0,5,1,0.2
103,01368b5ce8fcef87,C9,Impact,1,3,6,2.3333333333
104,01368b5ce8fcef87,C9,Jensen,2,4,6,2
105,01368b5ce8fcef87,C9,Meteos,3,3,5,2.6666666667
106,01368b5ce8fcef87,C9,Sneaky,4,1,4,8
107,01368b5ce8fcef87,IMT,Adrian,0,1,9,9
108,01368b5ce8fcef87,IMT,Huni,4,3,5,3
109,01368b5ce8fcef87,IMT,Pobelter,5,2,4,4.5
110,01368b5ce8fcef87,IMT,Reignover,2,3,7,3
111,01368b5ce8fcef87,IMT,WildTurtle,3,1,5,8
112,01417eebd0d9ccb3,FNC,Broxah,4,2,6,5
113,01417eebd0d9ccb3,FNC,Jesiz,0,2,5,2.5
114,01417eebd0d9ccb3,FNC,sOAZ,2,1,6,8
115,01417eebd0d9ccb3,OG,Naehyun,2,3,2,1.3333333333
116,01417eebd0d9ccb3,OG,Satorius,1,3,2,1
117,0156b7df31ad8a79,GIA,Fr3deric,0,5,8,1.6
118,0156b7df31ad8a79,GIA,PePiiNeRO,3,1,8,11
119,0156b7df31ad8a79,GIA,Werlyb,2,1,6,8
120,0156b7df31ad8a79,UOL,Hylissang,0,4,7,1.75
121,0156b7df31ad8a79,UOL,Kikis,2,2,6,4
122,0156b7df31ad8a79,UOL,Vardags,5,2,4,4.5
123,0156b7df31ad8a79,UOL,Vizicsacsi,1,1,9,10
124,016ac9c66c8ac080,FW,Betty,3,2,4,3.5
125,016ac9c66c8ac080,FW,Karsa,3,0,8,11
126,016ac9c66c8ac080,FW,MMD,3,0,6,9
127,016ac9c66c8ac080,FW,Maple,6,0,6,12
128,016ac9c66c8ac080,FW,SwordArt,0,0,12,12
129,016ac9c66c8ac080,SKT,Bang,1,1,1,2
130,016ac9c66c8ac080,SKT,Wolf,1,4,1,0.5
131,01a96409b7684abe,FW,Maple,0,4,1,0.25
132,01a96409b7684abe,G2,Expect,4,0,9,13
133,01a96409b7684abe,G2,Trick,2,1,9,11
134,01a96409b7684abe,G2,mithy,1,0,6,7
135,01aec9f5934783bc,FOX,Akaadian,4,1,4,8
136,01aec9f5934783bc,FOX,Froggen,6,0,6,12
137,01aec9f5934783bc,FOX,Gate,0,1,9,9
138,01aec9f5934783bc,FOX,Keith,3,2,3,3
139,01aec9f5934783bc,FOX,Looper,1,1,7,8
