,Match_ID,ObjType,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16
0,fbb300951ad8327c,bTowers,23.038,15.217,15.014000000000001,33.583,39.269,39.376,16.555999999999997,17.855999999999998,27.541999999999998,,,,,,,
1,055b17da8456fdc8,bTowers,33.018,34.766,23.239,20.058,15.306,25.564,28.989,,,,,,,,,
2,8e8a9b58df366e2d,bTowers,18.294,36.946,32.833,25.480999999999998,29.505,38.445,39.42,25.12,30.158,39.566,37.109,17.34,35.463,15.045,33.135,
3,0ed1cd0e0e57329c,bTowers,22.879,18.541,19.941,38.77,,,,,,,,,,,,
4,f932becf86175f38,bTowers,33.925,26.963,22.594,34.515,34.213,14.975999999999999,33.717,18.487000000000002,,,,,,,,
5,194c672d7969984f,bTowers,,,,,,,,,,,,,,,,
6,2a7ecaf7380e9d89,bTowers,19.918,18.734,24.494,35.645,37.897,37.802,12.369000000000002,19.684,33.234,23.142,,,,,,
7,c1678fe8c1106f56,bTowers,41.93,15.642999999999999,32.681,35.704,37.382,14.046,39.468,41.528,33.524,22.686,42.001999999999995,,,,,
8,23bade11cbfc3da3,bTowers,14.541,22.778000000000002,24.108,19.079,16.079,27.596999999999998,,,,,,,,,,
9,bb82a23d050613d1,bTowers,30.524,22.194000000000003,29.266,15.314,24.271,18.702,30.773000000000003,29.665,26.189,29.031,19.95,,,,,
10,e8fbe00273df6ede,bTowers,51.318,27.17,15.530999999999999,40.927,51.235,20.787,35.094,27.009,16.449,49.324,50.663000000000004,,,,,
11,00a7858e986c8d87,bTowers,37.651,18.834,31.337,39.683,27.688000000000002,27.263,45.071000000000005,12.697000000000001,,,,,,,,
12,0a0ecdfbe1497be1,bTowers,30.091,33.049,36.859,16.112000000000002,36.214,30.764,36.714,32.416,30.956999999999997,14.38,17.656,,,,,
13,7a7bb445d18d9d78,bTowers,20.603,21.955,,,,,,,,,,,,,,
14,205d8eb5a6029a26,bTowers,26.126,30.218000000000004,32.345,15.182,16.596,15.573,27.131,29.984,19.738,13.042,32.012,,,,,
15,526656c79ac5b9d1,bTowers,22.656,37.455,12.627,29.378,37.415,34.439,6.377999999999999,13.607000000000001,19.723,13.978,,,,,,
16,a196e7371aa0a23c,bTowers,15.092,17.619,12.985,27.430999999999997,,,,,,,,,,,,
17,9e3a93e956d7732b,bTowers,8.946,38.233000000000004,11.017999999999999,30.171999999999997,36.657,37.888000000000005,12.769,38.568000000000005,36.363,35.783,,,,,,
18,4ee943c3b28c3680,bTowers,39.288,13.392999999999999,32.054,21.553,39.607,17.367,39.516999999999996,17.12,,,,,,,,
19,27b78c313c1137d7,bTowers,24.471,16.852,18.215,14.565999999999999,,,,,,,,,,,,
20,ff41aed69d32573b,bTowers,17.949,46.135,19.98,23.596999999999998,15.154000000000002,,,,,,,,,,,
21,62e360abbd8ddc56,bTowers,34.219,34.312,23.299,33.498000000000005,8.96,16.633,33.931999999999995,12.56,32.792,,,,,,,
22,b8637cf4aa7edc70,bTowers,19.066,27.818,28.314,20.279,20.627,,,,,,,,,,,
23,2d6a1d82ef0f712f,bTowers,42.082,39.641,15.357999999999999,41.919,32.516,30.455,42.207,26.44,24.999000000000002,27.649,32.7,,,,,
