,match_id,league,season,year,team_name,red_or_blue_side,result,game_length,top_player,top_champ,jungle_player,jungle_champ,mid_player,mid_champ,adc_player,adc_champ,support_player,support_champ,ban_1,ban_2,ban_3,ban_4,ban_5
4642,9dcd8175989e4acd,LMS,Spring_Season,2015,MSE,red,0,29,LOFS,Maokai,Empt2,Nidalee,Wish,Ziggs,CorGi,Lucian,Janna,Chunx,'Veigar', 'Leblanc', 'Hecarim',,
4644,9dcfb37615a0371b,Europe,Spring_Season,2015,ROC,blue,1,45,Overpow,Gnar,Jankos,Nidalee,nukeduck,Kassadin,Woolite,Caitlyn,Vander,Annie,'Sivir', 'Rengar', 'Ahri',,
4645,9dcfb37615a0371b,Europe,Spring_Season,2015,MYM,red,0,45,Mimer,Lissandra,H0R0,JarvanIV,kori,Xerath,MrRalleZ,Graves,Leona,Nisbeth,'Azir', 'Thresh', 'Leblanc',,
4646,9dd207ff3ebfd598,Season_World_Championship,International,2015,CLG,blue,0,24,ZionSpartan,Fiora,Xmithie,Ekko,Pobelter,Veigar,Doublelift,Tristana,aphromoo,Braum,'Ashe', 'Kennen', 'Kalista',,
4647,9dd207ff3ebfd598,Season_World_Championship,International,2015,KOO,red,1,24,Smeb,Darius,Hojin,Elise,Kuro,Azir,PraY,Jinx,TahmKench,GorillA,'Mordekaiser', 'Gangplank', 'Lulu',,
4648,9dd7415881dede01,LMS,Spring_Season,2015,MSE,blue,0,33,LOFS,Rumble,Empt2,Rengar,Wish,Syndra,Tour,Corki,Chunx,Janna,'Gnar', 'Irelia', 'Xerath',,
4649,9dd7415881dede01,LMS,Spring_Season,2015,HKES,red,1,33,Stanley,Kassadin,Dinter,JarvanIV,Toyz,Lissandra,GodJJ,Sivir,Morgana,Olleh,'Fizz', 'LeeSin', 'RekSai',,
4651,9de0b9ba79e70fae,Europe,Spring_Playoffs,2016,FNC,blue,1,35,Gamsu,Nautilus,Spirit,Graves,Febiven,Lissandra,Rekkles,Jhin,Klaj,Thresh,'Trundle', 'Varus', 'Corki',,
4650,9de0b9ba79e70fae,Europe,Spring_Playoffs,2016,VIT,red,0,35,Cabochard,Gragas,Shook,Elise,Nukeduck,Gangplank,Hjarnan,Sivir,Alistar,KaSing,'Nidalee', 'Maokai', 'Poppy',,
4652,9de44619f393863e,Europe,Summer_Season,2016,GIA,blue,0,33,Smittyj,Irelia,Maxlore,Nidalee,Night,TwistedFate,S0NSTAR,Jhin,Hustlin,Nami,'Braum', 'Trundle', 'Azir',,
4653,9de44619f393863e,Europe,Summer_Season,2016,H2K,red,1,33,Odoamne,Gragas,Jankos,LeeSin,Ryu,Viktor,Freeze,Ashe,Zyra,Vander,'Ryze', 'Vladimir', 'Fizz',,
4654,9dec9bbf8d90f643,North_America,Spring_Playoffs,2016,NRG,blue,0,32,Impact,Gnar,Moon,Graves,GBM,Lissandra,Altec,Sivir,KonKwon,Alistar,'Poppy', 'Gragas', 'Ekko',,
4655,9dec9bbf8d90f643,North_America,Spring_Playoffs,2016,TL,red,1,32,Lourlo,Maokai,Dardoch,LeeSin,Fenix,Azir,Piglet,Kalista,Janna,Matt,'Kindred', 'Gangplank', 'Nidalee',,
4656,9e00cb3a5440d707,LCK,Summer_Season,2015,KOO,blue,0,51,Smeb,Rumble,Wisdom,RekSai,Kuro,Azir,PraY,Corki,GorillA,Annie,'Cassiopeia', 'Gragas', 'Olaf',,
4657,9e00cb3a5440d707,LCK,Summer_Season,2015,kt,red,1,51,Ssumday,Maokai,Score,Ekko,Nagne,Lulu,Arrow,KogMaw,Janna,Piccaboo,'Kalista', 'Ryze', 'Viktor',,
